UMAP_1,UMAP_2,Cluster_ID,Clean_Title,Question_ID,Mapped_Label,Label_ID
4.500437,3.287972,85,add oov terms word embeddings model,55629368,Implementation,1
7.319724,6.992108,52,error nltk tokenisation words two consequent letters gets split,74233975,Vector Embeddings,6
10.554274,1.9271289,37,optimize function uses looping lists pandas dataframe,78157864,Errors,0
7.5230637,0.79361624,9,twitter dataset filtering english language text using python,38488387,Text Preprocessing,3
4.1269774,4.172052,75,dynamically replace placeholders text using tensorflow sentencepiece,78963560,Tool Usage,4
6.979703,3.964423,43,creating text summary using nlp,59811501,Implementation,1
9.070352,1.8348217,35,error methoderror method matching documenttermmatrixvectorstring,71719137,Implementation,1
2.970857,5.1105957,68,use ctc loss seqseq correctly,73956505,Text Preprocessing,3
9.025855,2.5398002,39,total frequency count words using nltk python,70762463,Errors,0
7.1855583,2.7893975,89,weights features kmeans,45286863,Text Preprocessing,3
12.607027,5.2697506,18,stemming geographical words,60395736,Tool Usage,4
7.621236,5.924627,-1,build question answering program based knowledge graph python,60054451,Uncertain,5
6.260738,8.76415,54,get probability prediction per entity spacy ner model,59877735,Implementation,1
7.8544464,6.4631076,-1,incompatibility graph nlp leaflet,77197169,Uncertain,5
4.2934127,2.7120872,10,skipgram model wordvec expanded version ngram model skipgram vs skipgrams,52032799,Vector Embeddings,6
10.072221,5.6570625,86,train chinese segmenter model stanford nlp tools,27316268,Tool Usage,4
6.7322474,1.385082,14,sentiment analysis nonenglish texts,29169732,Implementation,1
6.753053,1.3069977,14,sentiment analysis dictionaries,4188706,Implementation,1
10.058325,8.254517,40,attribute error issue training pos tags spacy nlp,44817396,Implementation,1
5.484532,2.8355322,41,runtime error docvec model preprocessed dataset,75638946,Model Training,2
7.8940387,7.538002,77,named entity recognition less time nltk,48386089,Vector Embeddings,6
9.126182,2.7712736,39,count specific keywords transcript condition,76407983,Errors,0
9.476529,0.6587469,4,prevent certain words included building bigrams using gensims phrases,65704851,Tool Usage,4
8.938979,1.6959721,35,tm package error error definining document term matrix,10377273,Implementation,1
1.4868922,5.8619175,15,inputting data bert model using tfdatadatasetfromtensorslices,69660201,Implementation,1
5.127514,2.3054888,83,gensim buildvocabfromfreq overflow error,48614304,Errors,0
5.8943634,4.3306537,-1,prepare data scikitlearn,28386108,Uncertain,5
9.389089,0.6850731,4,nltk sklearn unigram bigram,32252075,Tool Usage,4
10.464877,2.2588336,37,python beginner function fill dataframe sentences work,56985895,Errors,0
9.595866,6.092062,79,english verb inflector,2178745,Errors,0
4.97062,4.466117,59,fasttext typeerror loadmodel incompatible function arguments,70096375,Vector Embeddings,6
10.146098,2.1090155,38,add sentence numbering tokenised words dataframe,65182307,Implementation,1
5.451716,8.033601,51,memory leak encorewebtrf model spacy,66832669,Text Preprocessing,3
4.193056,4.725984,75,modelmachine learning neural nets use selective input,59359422,Tool Usage,4
11.697105,5.790231,19,multilingual search using language elasticsearch,62468077,Vector Embeddings,6
3.817042,4.5937867,75,neural network model exist,13386554,Tool Usage,4
10.828763,2.5232837,37,removing multiple recurring text pandas rows,51485289,Errors,0
10.168794,7.281066,34,nltk parts speech tag considering apps verbs,65428990,Implementation,1
9.006993,2.582753,39,word frequency time count word frequency date,72516835,Errors,0
10.854936,5.6026974,29,rouge score metric nonenglish arabic language working,73963171,Errors,0
6.2372274,8.853354,54,define nermodel spacy,73916269,Implementation,1
3.5548005,1.3396087,2,using counts tfidf features scikit learn,27260799,Text Preprocessing,3
3.3961203,1.389021,2,cal tfidf different,51120323,Text Preprocessing,3
8.988374,0.64810646,4,nlp unigram present corpus stupid backoff smoothing,49124333,Tool Usage,4
5.436966,7.776959,51,installing spacy,51996739,Text Preprocessing,3
7.8048644,5.307084,-1,text file data convert dataset natural language processing,56053380,Uncertain,5
7.476554,0.8279439,9,natural language processing hinglish tweets,68498350,Text Preprocessing,3
7.233921,2.7597916,89,creating elbow plot kmeans clustering,66475978,Text Preprocessing,3
10.072686,7.9837174,40,pos tagging spanish nltk,25042855,Implementation,1
4.233255,8.668135,23,dialogflow custom entities working expected created using dialogflow console deconstructingchatbots tutorial,67254583,Implementation,1
6.967856,1.2446064,14,specific python library perform sentiment analysis reviews written german french,54344576,Implementation,1
3.4947703,4.465588,75,number dimensions lstm decided pointer generator model pytorch,61047446,Tool Usage,4
6.8859777,3.5680199,43,rouge score append list,67390427,Implementation,1
4.3120956,8.299617,22,building java chatbot connected xml data,45734628,Model Training,2
9.847263,5.5077806,86,phonemes chronemes,4552113,Tool Usage,4
7.891552,7.549863,77,named entity recognition gate using lingpipe,35684497,Vector Embeddings,6
4.1512585,2.5954165,10,convert skipgrams count matrix,53201811,Vector Embeddings,6
8.448312,7.6182537,67,custom relation extraction model using stanford core nlp doesnt find relations,42497413,Errors,0
5.0951247,4.277758,59,get penultimate layer output fastai text model,55968816,Vector Embeddings,6
12.617583,5.255298,18,stemming vs lemmatization financial text python nltk,53005362,Tool Usage,4
6.1432014,7.2497683,33,create json file custom entity types watson knowledge studio,60885251,Vector Embeddings,6
3.4751968,6.0378366,58,attributeerror cant get attribute geluactivation module transformersactivations ctransformersactivationspy,72590241,Implementation,1
10.136166,6.0891604,78,speech text method using python,41755989,Tool Usage,4
6.172631,3.3883488,24,random forest classifier bag words leads size issue,58984118,Vector Embeddings,6
5.372984,5.2375407,55,add training data outofthebox parsey mcparseface model,38797363,Tool Usage,4
3.613373,1.4753247,2,tfidf sentiment analysis classifier performing well,53877017,Text Preprocessing,3
9.793463,8.297108,40,output multiple possible tags spacy spancat,74363010,Implementation,1
9.7166815,2.252979,38,r concatenate aggregation function,49560036,Implementation,1
5.9810414,4.6915965,81,imbalanced multiclass classification using company names,72032366,Tool Usage,4
10.622414,2.297683,37,pandas reconstruct strings word per row,50024431,Errors,0
9.879698,8.416642,40,extract tag attributes using spacy,53755559,Implementation,1
5.529604,6.7616806,-1,run java api python,49965517,Uncertain,5
4.976177,4.9183245,62,solve sklearn memory error fitting large data,56969572,Errors,0
5.2987075,0.68749714,5,adjusting lda hyperparameters scikit learn gensim python,65811834,Implementation,1
1.2654403,5.5592265,15,using bert article summarization label expected output summary present article,59828517,Implementation,1
3.810724,4.7717943,75,choosing margin contrastive loss siamese network,54892607,Tool Usage,4
11.486375,3.1874225,11,use langchaindocumentloaderspypdfloader pdf documents uploaded streamlit,76675978,Tool Usage,4
3.4266906,1.3339587,2,tf idf vectorizer persian doc,78562084,Text Preprocessing,3
6.7144666,1.25441,14,comparison binary vs tfidf ngram features sentiment analysis classification tasks,14540630,Implementation,1
12.619101,5.2222953,18,r tm package stemcompletion memory,35724722,Tool Usage,4
10.663779,1.951369,37,similarity score filter dataframe columns pandas,68705355,Errors,0
1.4880499,5.878119,15,properly formatted data ner bert look like,60220842,Implementation,1
10.7284975,6.4939446,31,android studio wordnet dictionary,45768897,Tool Usage,4
6.498785,4.460758,80,ready package semisupervised learning,26296985,Implementation,1
5.865365,4.6519494,81,set disjoint labels multilabel classification simpletransformers,67602185,Tool Usage,4
6.5664363,6.4088326,42,google semantic retriever error credentials object attribute universedomain,77940890,Errors,0
3.5204506,1.2875882,2,compute tfidf word score relevant random corpus,53258578,Text Preprocessing,3
4.4328113,3.4666882,85,get embeddings long texts without pooling,76784135,Implementation,1
4.3908873,8.1879425,22,unrecognizedinputformatexception using chatterbot,38961738,Model Training,2
9.799964,2.119859,-1,count occurance specific words every sentences paragraph dataframe python,63738400,Uncertain,5
12.610346,5.247637,18,stemmed word using hunspell module,53030023,Tool Usage,4
6.790438,1.2245481,14,feature extraction sentiment analysis using scikitlearn,40463610,Implementation,1
3.024079,2.8308923,0,concatenate glove embedding array contains additional signal,63016888,Vector Embeddings,6
5.192806,4.7892814,62,predictions multi label model blank,61132927,Errors,0
5.207519,2.2168512,83,import gensim summarize,69064948,Errors,0
4.2294674,8.702018,23,add required filed context parameters dialog flow,50980489,Implementation,1
6.4701524,6.3455215,42,getting error php fatal error class googlecloudlanguagelanguageclient found,47956831,Errors,0
11.913389,5.92196,19,implement morphological search using solr,49308492,Vector Embeddings,6
5.8424835,8.418906,53,spacy trained model input error dimension,71616374,Errors,0
5.452114,2.9231477,41,vectors calculated docvec size parameter depict,49898287,Model Training,2
3.7916253,5.601038,75,pytorch throws runtime errors finetuning llm summarization google colab pro,75943666,Tool Usage,4
4.498892,9.241891,17,make microsoft luis case sensitive,59033979,Text Preprocessing,3
3.7001247,5.153422,75,tensorflow numclasses parameter nceloss,47558634,Tool Usage,4
3.6097155,5.310164,75,save model output pytorch,67195895,Tool Usage,4
11.518022,3.141064,11,extracting information multiple resumes pdf format,71296680,Tool Usage,4
10.1389885,2.8232243,37,making wordcloud combined words,36479780,Errors,0
10.865432,5.5808024,29,error loading list adding list arabic plugin gazetteer,41398680,Errors,0
11.880085,5.7264113,19,hibernate search lucene accent insensitive search,36789769,Vector Embeddings,6
4.1899924,4.8030214,75,keraspreprocessingsequence padsequences process characters instead words,64073249,Tool Usage,4
