UMAP_1,UMAP_2
7.1811757,2.8546216
7.9865537,3.250871
6.464227,6.3670793
12.658755,5.3132415
9.349711,5.4987435
9.229175,7.989305
5.130103,7.9023457
3.4064178,1.3667421
7.204865,7.0528984
10.186607,5.600147
5.5519295,4.2865205
4.0165725,1.2156157
11.048049,8.86089
8.701255,8.134434
5.7671037,2.2797885
4.2901454,5.7245474
8.075202,6.1556563
7.1674776,2.8993993
12.628741,5.2820024
8.494935,6.973687
1.4468466,5.895501
9.722491,5.4316587
8.829956,7.805966
9.797066,4.3477783
8.943567,3.677783
9.106055,8.100009
8.050446,5.964027
8.720242,6.7203684
7.811947,2.40429
6.9365196,1.2430489
8.956644,3.7218196
12.613082,5.3128433
11.328037,4.316373
12.617857,5.2774715
7.5786424,8.385596
3.9795506,4.6749053
8.887539,6.8376255
8.729324,6.894322
6.8940206,1.2720631
4.317326,8.304201
8.824189,4.6719756
3.2673254,4.740677
11.528811,4.2202597
9.197821,5.796739
11.674362,5.7932286
7.160356,7.0146284
6.444972,1.838333
6.184654,7.5001225
10.310261,5.974214
4.281193,5.7046843
8.092481,3.6752284
5.513745,7.845776
9.749938,5.251388
11.08621,8.882129
6.945934,3.8495011
8.090431,6.0616775
7.6576457,8.019398
8.124544,2.6751766
7.00911,7.021257
9.880791,4.890091
6.7390456,1.2498766
6.753053,1.3069977
4.7126303,6.012348
6.7171493,1.2247182
7.9922132,7.1456337
8.109124,6.060229
5.12552,2.4840684
4.299757,2.689426
5.1646523,3.313476
10.946382,5.2176466
9.449447,5.186485
5.110789,2.5982661
3.312349,1.4869746
6.6976523,4.4633117
9.912968,8.154946
4.097871,6.3465877
9.70613,4.6072907
9.775695,7.950007
3.0287576,2.840804
9.539053,6.347404
7.8912992,5.5648623
7.868646,7.5607433
3.0325959,5.7939887
3.4100282,1.3983704
6.6826525,1.2468113
9.340993,5.480916
5.0164113,2.5514612
11.866035,5.7587457
8.045759,5.747509
8.691891,4.39338
5.9789057,2.8651304
9.362548,5.6979184
5.2554426,2.3135922
7.330696,7.0331206
8.087122,5.889525
4.206489,3.8994443
10.796247,7.5019507
4.2736416,8.71349
4.24444,8.702909
7.200763,7.059912
11.008862,8.833975
8.709164,7.85092
3.1149712,4.923824
9.647474,4.667184
9.033438,2.6127787
7.790782,7.5676794
6.669488,7.1543493
4.9366035,6.814961
8.478883,7.07081
9.519084,4.4727116
6.723021,1.4109545
9.765589,3.9938684
6.993107,1.6031029
12.618107,5.2522583
9.99165,7.8280253
5.5102286,4.2877836
6.957578,3.8835065
9.738348,6.32345
8.723101,7.004661
6.4206667,8.161175
1.3558091,5.684291
6.3917,7.9281964
7.094744,1.3420576
5.4610662,7.833693
5.483854,2.2913172
10.480331,6.044251
9.006268,4.669316
8.8712225,6.964483
8.830575,7.7396345
8.906243,4.61074
3.8220186,6.3757043
6.741227,4.3890977
8.91221,4.8794346
10.091235,4.867679
9.011091,2.6191864
9.314064,0.4820491
5.942947,0.46923772
3.2826056,1.5113482
5.35576,7.859671
9.826956,7.8137736
7.619103,5.5969987
4.762917,8.4808035
5.239108,3.1779535
10.837247,7.5557423
10.870721,7.573827
8.7376175,5.425454
5.5494394,0.31159657
5.389886,5.2112317
1.3581704,5.6389823
4.409912,8.465905
7.7209473,5.472295
7.8975134,4.323553
10.079198,7.889235
9.386772,5.6390038
8.177767,3.5289938
9.260261,5.379123
9.894419,7.951823
8.8563385,4.346619
8.22079,4.952422
3.7796073,4.5469666
4.9739504,2.6169124
9.13375,8.079098
4.3794303,7.4522796
10.058973,8.14906
6.6978917,1.127072
3.0393279,2.8236053
9.027669,9.283188
4.5270905,3.3929298
8.025401,3.6850924
3.0330093,2.8357787
3.9282832,5.3993487
7.647213,8.489846
3.2629986,1.5311882
11.382659,5.886491
11.339008,4.1505895
9.385924,5.4055624
8.6934185,6.865907
3.0384057,6.418654
7.2897105,7.0891924
7.8666973,7.538782
11.014858,8.83054
11.328558,4.339658
9.271078,0.78387153
7.786502,7.5140586
4.6252856,3.2727606
7.9757214,7.4273043
5.520351,0.40819362
6.819483,8.349053
8.125383,5.905421
5.1400266,2.3382058
4.979562,2.53262
6.7561703,1.2473164
5.4363947,0.40670753
6.4228454,1.8772317
6.397731,8.098818
5.1543107,2.360136
8.508038,5.7420535
4.1427,1.1670649
8.098778,5.8815255
8.118821,6.239941
4.918255,3.0250254
4.5542865,8.867114
9.224432,7.644245
1.5740699,5.7711387
8.8915615,4.511097
5.150759,2.4441667
3.291309,1.5063249
8.784374,6.2553644
9.5581665,6.2019534
10.858776,5.600203
9.416642,4.8568587
10.856188,7.566287
7.3731585,2.8928552
10.5509,6.0812006
7.524595,0.793106
6.192707,3.5093102
9.166127,3.6868217
11.116521,6.2579455
8.17857,4.7555265
3.030813,2.8431451
10.1230955,4.848995
6.174162,3.406471
9.901287,7.9647713
7.036776,5.537469
3.505651,1.2799459
9.336502,6.508594
6.737494,1.2899601
10.047501,5.21003
5.111805,3.238703
9.175932,4.824
7.004897,5.4889126
10.303281,5.9727225
5.033595,3.0022676
3.5213156,5.7491574
4.307087,6.352893
3.548498,6.010881
8.565269,5.435538
11.850385,5.749112
8.880757,6.5774446
8.569566,4.9578505
7.1954074,2.8594627
5.0341196,3.0881672
4.2887354,5.727946
8.047533,3.490939
8.258107,5.699426
8.535531,5.7137475
4.224369,3.5940847
8.776494,5.4582114
8.638452,4.202723
12.530325,5.220231
9.735788,4.6195564
8.989825,5.8944883
11.206367,4.102204
5.1456337,3.1847382
4.225027,8.115922
11.072799,8.882161
1.932853,5.986145
7.066379,8.364243
11.068712,3.6394112
9.412268,4.0479674
6.543489,8.10787
10.765953,6.8364615
9.944678,4.859509
3.14255,4.789992
7.015675,3.6736891
8.07193,2.1550796
3.3783412,1.4758071
5.0164986,2.9674387
7.5302587,6.0463142
5.605538,0.24075256
8.500669,4.447692
7.221524,7.03348
5.666696,2.3061693
7.455109,0.82646096
3.7656012,5.4268246
9.439022,0.61452115
9.453402,0.6805174
12.60533,5.2553344
6.6900806,4.429784
9.48331,3.393173
3.2933216,1.4824941
1.5995243,5.821969
9.813203,5.9363914
8.924008,5.6708193
6.492434,2.855364
6.877048,6.0344768
8.55272,7.0523696
8.895559,6.6685863
9.323447,0.80472046
4.4999394,5.110638
7.8172545,7.7394366
8.465298,7.626967
8.014615,4.6512856
7.293239,7.1164694
6.458968,1.915619
5.6673965,0.30077222
8.255001,5.8905663
8.047606,3.642328
5.4824176,7.6343045
9.266902,6.8811784
5.548946,0.29961362
3.448337,4.8348184
6.510252,8.301802
2.8585048,5.3468966
4.418773,7.4550066
9.056363,7.3861527
10.820314,4.3559475
9.272513,0.46856722
2.8427925,5.584111
5.272404,3.3179338
7.8665853,7.636481
3.0838635,6.397229
3.0090365,6.761659
3.4292963,1.3935131
9.330333,5.4570827
8.937518,8.323116
7.7663527,2.3011663
8.286931,4.092485
2.7783732,6.593282
7.517512,0.79672587
8.737726,5.34496
5.7109613,4.308025
4.8818965,3.192148
8.093013,6.228845
9.100926,9.509347
9.493698,5.5632954
4.044119,5.9826
8.236653,6.2025366
7.4057517,6.9375143
2.6998224,6.5780168
4.625841,3.3420653
6.627021,8.1644535
9.451112,5.547851
9.260806,0.4416513
11.288983,4.306232
9.541911,8.180563
11.9345045,5.86722
8.809038,4.9852557
3.4167,6.515474
11.535695,4.2172236
9.0843725,9.6154
8.492279,6.422853
3.42977,1.3651291
7.104977,8.200637
5.892962,5.369116
10.321418,4.308263
7.7691855,2.4298198
4.1330466,3.7483697
4.2803483,8.6484
6.7147403,7.7530255
10.196564,7.9966764
1.7645494,5.985029
3.680785,6.095212
9.01604,9.213637
1.65832,5.83976
7.223954,2.767456
4.8787827,6.886884
8.070505,5.880829
7.2276134,7.058635
8.301398,6.914608
9.825808,7.981696
8.2683935,3.917109
4.3274612,2.738272
5.8388805,4.3140063
11.425598,4.181081
5.025086,2.5397644
6.8360205,1.3089628
4.5095205,3.473686
6.626271,7.9576807
9.1226845,0.61453354
10.736193,6.813099
5.051573,2.3419042
8.038742,3.645505
9.189751,7.918468
9.261898,6.856456
7.900576,3.0623002
8.15955,3.3499384
2.750335,6.5876703
8.451052,9.6982
9.222364,5.5655627
3.5671012,6.043217
6.690812,7.5833836
7.4945936,6.2468834
3.690406,4.62
4.6594276,5.0090914
5.160999,2.2779138
9.283129,0.4507438
10.189174,4.3987184
9.821171,5.0760193
4.983763,2.5323474
8.552959,5.8219852
8.700881,7.916357
9.740278,4.0267158
10.833747,5.4803257
9.521974,6.2693
3.1773143,5.244386
9.578328,6.247164
9.578809,5.8723454
9.585277,5.8896456
5.68688,7.0200653
8.749616,6.934062
6.5410156,4.417935
10.360703,4.2153826
8.346545,3.623256
9.701855,2.350732
6.624874,2.7070076
6.7309446,9.543956
12.488563,5.398948
10.746309,6.8378224
8.097564,5.3683395
9.006858,9.464105
6.768879,8.459941
11.000024,8.83532
11.522909,3.1429589
5.628951,0.2629634
6.8597155,8.8807955
3.2460904,1.43237
9.188634,5.5630493
9.1193075,7.634483
3.5847802,4.4197836
6.665201,1.1597699
9.300257,5.2031837
8.833702,6.9629016
9.279849,0.7076722
6.4363003,4.5851254
3.2607977,5.987704
9.2868,0.4395389
5.4499464,7.87595
9.829405,8.105342
7.09467,8.246517
6.0549135,5.6702642
11.546805,3.1328993
6.875232,1.120131
8.71717,5.850641
9.588666,4.072824
9.964784,3.8390872
8.733402,6.696297
5.281049,2.566083
4.3252983,2.7159064
8.063647,7.745022
5.1912103,3.254552
7.6518397,4.0025086
9.926305,4.9728174
6.8251166,1.2943591
5.0902214,3.0539641
10.510211,6.0663447
8.654733,7.091719
9.063925,2.5697832
4.865933,6.91812
1.4401506,6.0108056
6.871905,8.736387
5.654242,0.29183778
5.7407374,5.303095
10.351263,4.007094
6.8296833,7.1026196
9.454209,0.7910162
6.7576413,4.5100226
9.960228,8.384021
10.50372,6.043381
7.7897716,2.3527346
7.883895,7.9506645
5.538783,6.5604796
8.756615,6.4322634
9.834581,6.4978466
8.73428,6.674036
8.741507,6.0778546
8.044636,3.3211014
10.036713,7.920714
9.427559,5.241977
9.209766,4.581113
6.9223957,8.357922
8.864825,7.125679
10.164413,6.5084147
10.643514,7.6660047
1.6809428,5.7776556
4.1385803,1.1813742
10.955935,5.218065
1.4725512,5.9253764
8.862148,5.0385027
8.043974,5.9347014
4.8481517,2.720811
10.53153,2.0268495
5.014934,6.1913896
10.089035,5.9679613
8.718977,7.0325623
9.994646,7.9033194
9.333755,7.569958
4.665768,3.510301
10.130601,2.837499
11.027002,8.84542
6.759987,1.2238177
9.067154,2.708548
5.2384906,3.7214823
4.7612486,4.633157
10.42146,4.026182
6.509113,8.151331
5.5871,0.2702387
10.763383,7.0606728
6.4561386,1.7691737
3.2810886,1.4980702
5.8730617,0.48229903
8.969937,4.998617
9.662933,6.391653
8.540944,5.6825247
4.159887,1.1564767
6.6573734,7.8143034
11.058833,6.274077
7.0734787,6.959569
5.9338307,-0.43010637
3.1197364,5.0154834
4.546096,3.3861804
6.5147753,2.0020003
1.4947511,5.9991455
9.919021,8.443947
8.817155,4.904708
9.262555,9.390149
8.979027,7.023874
9.131677,8.007667
11.519485,3.1452343
4.202862,3.6522186
8.414836,7.6151986
8.116075,6.127151
8.031092,6.0177107
6.859064,1.9433137
9.425035,6.171878
3.363379,1.412143
6.2339745,8.800287
3.724769,4.8923645
8.510479,6.230457
8.553104,6.2309957
6.7377596,7.2473054
9.626592,6.4496713
3.7345207,7.283673
6.7220116,9.536455
11.062152,8.866543
7.9279447,4.3817277
8.8698845,4.100776
6.9167953,1.1788743
10.754881,6.5592403
10.960578,5.0695295
11.902779,7.597204
10.545058,5.5543337
4.49236,8.399642
7.20165,5.1170382
8.935778,8.404195
8.805144,4.9462104
2.729626,6.600735
11.517318,3.148031
5.460635,3.4661353
8.124522,4.328063
1.4815786,5.7803264
7.021681,1.6382498
5.383341,7.6986475
4.3557525,7.4249587
9.078624,1.8047144
4.0432243,6.4482427
6.9453597,8.348037
8.39079,7.5573444
8.444399,9.705535
11.674429,5.6778655
6.94462,1.2434508
11.062467,6.3413086
12.5974245,5.2053394
5.4419827,3.491367
6.831356,6.998369
10.287523,5.9463325
12.672712,5.0311866
4.1581798,1.1528628
9.060893,4.859301
3.5791562,5.95093
8.591386,4.9986286
9.330403,7.265103
8.782,3.5379474
6.9126716,8.382304
5.5635953,2.85245
11.383598,4.1663175
10.059468,5.5057855
9.228671,6.3005757
9.106639,4.356514
2.972179,5.127104
4.914782,4.820673
6.793087,7.2906604
9.600921,6.388467
8.226342,8.257285
8.534223,6.3506365
8.158124,5.042408
8.910781,5.085597
10.38214,3.962611
4.004928,5.101008
4.942195,3.2568526
12.617534,5.25352
6.3998647,8.678076
4.0326805,3.913226
5.4530773,3.5205564
4.908416,2.9903321
9.805419,3.9579127
7.7061977,2.5196412
7.7339,2.4859195
4.558771,8.7748375
10.637816,6.541182
8.212528,3.34007
11.339146,4.3409324
8.894608,5.7177672
8.7964,5.786069
7.166285,8.360637
8.503251,8.264664
8.820239,7.832174
12.61895,5.2468023
11.794593,5.702075
8.193285,2.6019995
8.106818,6.072882
6.803305,5.3478556
9.08434,2.576827
10.7918005,4.2293415
7.246532,2.7720895
8.635881,6.25999
10.533875,4.2613487
6.847521,4.886799
7.816181,2.2893445
8.151779,1.2868478
10.745082,7.461252
6.2788615,8.123081
8.981122,8.627264
7.340813,7.017721
9.227696,0.7903343
6.064804,5.68405
1.8413049,6.016394
7.0135098,7.9599385
8.1190195,6.067477
5.925325,7.9678745
9.394873,6.912151
10.876916,4.665397
5.1061964,7.9059696
6.4003067,4.4255285
4.2846684,5.7070775
4.5606346,8.860021
9.660159,4.541711
9.800161,5.03536
9.4795,5.6629143
7.120444,7.498086
6.689549,7.218775
3.5900612,4.438327
6.3868756,8.17227
10.095387,8.217552
7.9038706,7.2447968
9.08988,6.5008135
10.948701,6.398997
10.6234455,5.4108424
10.707473,6.565487
8.238451,5.3776054
8.441835,5.7880917
6.1177325,3.9669108
9.020426,2.655705
7.9687996,8.042401
9.030442,9.343503
9.920465,7.662271
3.5848372,4.880547
3.6324968,5.0440807
4.138392,5.564822
1.5000013,5.962441
5.546578,0.3414081
8.211622,5.9607654
5.1959624,7.283036
4.3174,4.7949305
